product_name,price,alink,matched,store_name,brand_name,price_range,rating,sold,platform
Keychron K4 V.2 Hotswappable (Key ENG) ⌨ ขนาด 96% - 100 Keys ‼️ คีย์บอร์ดไร้สาย Bluetooth 🔥🔥🔥,4190,https://shopee.co.th/Keychron-K4-V.2-Hotswappable-(Key-ENG)-⌨-ขนาด-96-100-Keys-‼️-คีย์บอร์ดไร้สาย-Bluetooth-🔥🔥🔥-i.5890399.6896921535?sp_atk=4cf3febd-faf3-40d2-bc4c-ef65c41bb816&xptdk=4cf3febd-faf3-40d2-bc4c-ef65c41bb816,TRUE,hardware_riser,Keychron(คีย์ครอน),"฿4,190",5,112,shopee
Keychron K4V2 คีย์ครอน K4 คีย์บอร์ดไร้สาย Wireless Hot swappable mechanical keyboard,4190,https://shopee.co.th/Keychron-K4V2-คีย์ครอน-K4-คีย์บอร์ดไร้สาย-Wireless-Hot-swappable-mechanical-keyboard-i.476489215.10616415728?sp_atk=211a0ec6-65a5-4aa1-873f-ecdba233e2f4&xptdk=211a0ec6-65a5-4aa1-873f-ecdba233e2f4,TRUE,mechanicpro_official,Keychron(คีย์ครอน),"฿4,190 - ฿4,390",5,64,shopee
Keychron ที่พักข้อมือไม้วอลนัท สําหรับ K2 K4 K6 K8 K10 Q1 Q2,569,https://shopee.co.th/Keychron-ที่พักข้อมือไม้วอลนัท-สําหรับ-K2-K4-K6-K8-K10-Q1-Q2-i.290039395.9316158128?sp_atk=5ac743c8-bd55-4096-adfa-045b90cbf017&xptdk=5ac743c8-bd55-4096-adfa-045b90cbf017,TRUE,kongjianzhan.th,Keychron(คีย์ครอน),฿569,4.8,1.9พัน,shopee
Keychron K4 V.2 Hotswappable (Key ENG) ⌨ ขนาด 96% - 100 Keys ‼️ คีย์บอร์ดไร้สาย Bluetooth,1729,https://shopee.co.th/Keychron-K4-V.2-Hotswappable-(Key-ENG)-⌨-ขนาด-96-100-Keys-‼️-คีย์บอร์ดไร้สาย-Bluetooth-i.913934953.23511000262?sp_atk=9048df2a-1e4d-43c8-a3ad-74e4712f530b&xptdk=9048df2a-1e4d-43c8-a3ad-74e4712f530b,TRUE,h_skwf_p7j,None,"฿1,729",None,0,shopee
[ประกันไทย] [in stock] Keychron K4 V2 คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดบลูทูธ แบบไร้สาย - Mode 5 . 1 คีย์ภาษาไ,1364,https://shopee.co.th/-ประกันไทย-in-stock-Keychron-K4-V2-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดบลูทูธ-แบบไร้สาย-Mode-5-.-1-คีย์ภาษาไ-i.913934953.23510998741?sp_atk=92ade882-5fc2-4485-9f44-9ec04e7c63a0&xptdk=92ade882-5fc2-4485-9f44-9ec04e7c63a0,TRUE,h_skwf_p7j,None,"฿1,364 - ฿3,006",None,0,shopee
Keychron Wooden Palmrest for K4 (Solid wooden palm rest) ไม้รองข้อมือ สำหรับคีย์บอร์ดรุ่น K4,513,https://shopee.co.th/Keychron-Wooden-Palmrest-for-K4-(Solid-wooden-palm-rest)-ไม้รองข้อมือ-สำหรับคีย์บอร์ดรุ่น-K4-i.913932026.22711052482?sp_atk=624b046e-0180-412d-8085-a98dc5518311&xptdk=624b046e-0180-412d-8085-a98dc5518311,TRUE,e9chw8fukg,None,฿513,None,0,shopee
【ของแท้ใหม่】in stockแ Keychron K4 V2พร้อมส่งของแท้💯％ คีย์บอร์ดบลูทูธ แบบไร้สาย - Mode 5 . 1,3280,https://shopee.co.th/【ของแท้ใหม่】in-stockแ-Keychron-K4-V2พร้อมส่งของแท้💯％-คีย์บอร์ดบลูทูธ-แบบไร้สาย-Mode-5-.-1-i.755201256.10394192896?sp_atk=81c1a7c7-a274-4276-9910-672e26b37080&xptdk=81c1a7c7-a274-4276-9910-672e26b37080,TRUE,dsggwe,Keychron(คีย์ครอน),"฿3,280",4.6,1.1พัน,shopee
Keychron K4 Wireless Keyboard Thai (คีย์บอร์ดไร้สายภาษาไทยขนาด 96%),4390,https://shopee.co.th/Keychron-K4-Wireless-Keyboard-Thai-(คีย์บอร์ดไร้สายภาษาไทยขนาด-96-)-i.241119803.3729249856?sp_atk=99f48219-b90c-4d4f-abe9-4d1367811b87&xptdk=99f48219-b90c-4d4f-abe9-4d1367811b87,TRUE,keychronthailand,Keychron(คีย์ครอน),"฿4,390",4.9,2พัน,shopee
ประกันไทย [in stock] Keychron K4 V2 คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดบลูทูธ แบบไร้สาย - Mode 5 . 1 คีย์ภาษาไ,1345,https://shopee.co.th/ประกันไทย-in-stock-Keychron-K4-V2-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดบลูทูธ-แบบไร้สาย-Mode-5-.-1-คีย์ภาษาไ-i.931884308.20370700682?sp_atk=d85ea52c-6b33-42a4-b6ad-157494a49dd4&xptdk=d85ea52c-6b33-42a4-b6ad-157494a49dd4,TRUE,01wpl48exy,None,"฿1,345 - ฿1,493",None,0,shopee
Keychron K4 V2 คีย์บอร์ด Mechanical ไร้สาย  Keychron K4 Wireless Mechanical Keyboard Keychron Optical,1215,https://shopee.co.th/Keychron-K4-V2-คีย์บอร์ด-Mechanical-ไร้สาย-Keychron-K4-Wireless-Mechanical-Keyboard-Keychron-Optical-i.931884308.18170710534?sp_atk=1a542f5c-2407-446c-810c-4d04ee7af9d0&xptdk=1a542f5c-2407-446c-810c-4d04ee7af9d0,TRUE,01wpl48exy,None,"฿1,215 - ฿1,389",None,0,shopee
[ประกันไทย] [in stock] Keychron K4 V2 คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดบลูทูธ แบบไร้สาย - Mode 5 . 1 คีย์ภาษาไ,1374,https://shopee.co.th/-ประกันไทย-in-stock-Keychron-K4-V2-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดบลูทูธ-แบบไร้สาย-Mode-5-.-1-คีย์ภาษาไ-i.915808203.19968755290?sp_atk=54fe70f0-9d26-4f09-b818-16bd594739ec&xptdk=54fe70f0-9d26-4f09-b818-16bd594739ec,TRUE,v416d38dki,None,"฿1,374 - ฿3,015",None,0,shopee
[ประกันไทย] [in stock] Keychron K4 V2 คีย์บอร์ด สินค้าถ่ายจากงานจริง 💯% คีย์บอร์ดบลูทูธ แบบไร้สาย - Mode 5 . 1 คีย์ภาษาไ,2980,https://shopee.co.th/-ประกันไทย-in-stock-Keychron-K4-V2-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-💯-คีย์บอร์ดบลูทูธ-แบบไร้สาย-Mode-5-.-1-คีย์ภาษาไ-i.755196380.15279100635?sp_atk=bb153e09-03c5-4898-9030-a12bdc10976b&xptdk=bb153e09-03c5-4898-9030-a12bdc10976b,TRUE,dfhwegwe,Keychron(คีย์ครอน),"฿2,980",4.4,1.1พัน,shopee
۞▽✺[ประกันไทย] [in stock] Keychron K4 V2 คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดบลูทูธ แบบไร้สาย - Mode 5 . 1 คีย์ภาษ,1327,https://shopee.co.th/۞▽✺-ประกันไทย-in-stock-Keychron-K4-V2-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดบลูทูธ-แบบไร้สาย-Mode-5-.-1-คีย์ภาษ-i.918418108.21968976084?sp_atk=d9b8cc08-b653-42c8-82ab-2d80161e7ae0&xptdk=d9b8cc08-b653-42c8-82ab-2d80161e7ae0,TRUE,c9grwpd9c6,None,"฿1,327 - ฿1,547",None,0,shopee
♣∏✓Keychron K4 hotswap (Key ENG) Mechanical Keyboard คีย์บอร์ดไร้สาย Wireless แท้100% ถูกสุดในโลก,1693,https://shopee.co.th/♣∏✓Keychron-K4-hotswap-(Key-ENG)-Mechanical-Keyboard-คีย์บอร์ดไร้สาย-Wireless-แท้100-ถูกสุดในโลก-i.928352823.21970634223?sp_atk=aeadce2c-ac3b-434f-a19a-7211d5f5be27&xptdk=aeadce2c-ac3b-434f-a19a-7211d5f5be27,TRUE,18fv3khj50,None,"฿1,693 - ฿1,789",None,0,shopee
bfh Keychron K4 A V2บลูทูธไร้สายคีย์บอร์ด W/ สีขาว LED Backlight Gateron Switch แบบมีสาย USB Gaming Keyboard 253,3953,https://shopee.co.th/bfh-Keychron-K4-A-V2บลูทูธไร้สายคีย์บอร์ด-W-สีขาว-LED-Backlight-Gateron-Switch-แบบมีสาย-USB-Gaming-Keyboard-253-i.927936077.22716345455?sp_atk=7bdf31c2-22fd-4cfd-8fe8-62c2b44005f3&xptdk=7bdf31c2-22fd-4cfd-8fe8-62c2b44005f3,TRUE,253f6m1bfh,None,"฿3,953",None,0,shopee
Keychron K4 hotswap (Key ENG) Mechanical Keyboard คีย์บอร์ดไร้สาย Wireless แท้100% ถูกสุดในโลก,1617,https://shopee.co.th/Keychron-K4-hotswap-(Key-ENG)-Mechanical-Keyboard-คีย์บอร์ดไร้สาย-Wireless-แท้100-ถูกสุดในโลก-i.927661263.22716713886?sp_atk=638c0bc5-b827-4e1a-91b1-50361b985b8e&xptdk=638c0bc5-b827-4e1a-91b1-50361b985b8e,TRUE,l62pqwrvjl,None,"฿1,617 - ฿1,706",None,0,shopee
Psy RGB 143 keycaps white pudding double skin milk backlit keycap keychron K4 K6 K8 GASE,1763,https://shopee.co.th/Psy-RGB-143-keycaps-white-pudding-double-skin-milk-backlit-keycap-keychron-K4-K6-K8-GASE-i.926711040.22114389025?sp_atk=116a99d0-c0a6-431b-8fc0-0593e91212ec&xptdk=116a99d0-c0a6-431b-8fc0-0593e91212ec,TRUE,ey4rf4gb3w,None,"฿1,763",None,0,shopee
เคสแป้นพิมพ์ ฝาครอบป้องกันถุงเก็บ for keychron K2 K3 K4 K6 K8 C1 C2 K12 K10 Q1 กระเป๋า carrying case Travel storage bag,494,https://shopee.co.th/เคสแป้นพิมพ์-ฝาครอบป้องกันถุงเก็บ-for-keychron-K2-K3-K4-K6-K8-C1-C2-K12-K10-Q1-กระเป๋า-carrying-case-Travel-storage-bag-i.912630679.19168235309?sp_atk=9f7579ee-a600-4a48-bcc2-93099e98c5b9&xptdk=9f7579ee-a600-4a48-bcc2-93099e98c5b9,TRUE,h35id0za77,None,฿494 - ฿549,None,0,shopee
Keychron K4 V2 คีย์บอร์ด Mechanical ไร้สาย  Keychron K4 Wireless Mechanical Keyboard Keychron Optical,1457,https://shopee.co.th/Keychron-K4-V2-คีย์บอร์ด-Mechanical-ไร้สาย-Keychron-K4-Wireless-Mechanical-Keyboard-Keychron-Optical-i.924395270.22715807522?sp_atk=51f611db-d8cd-46a0-b168-d3a8afa25805&xptdk=51f611db-d8cd-46a0-b168-d3a8afa25805,TRUE,n0rtr6fjeh,None,"฿1,457 - ฿1,706",None,0,shopee
Keychron K4 V2 คีย์บอร์ด Mechanical ไร้สาย  Keychron K4 Wireless Mechanical Keyboard Keychron Optical,1539,https://shopee.co.th/Keychron-K4-V2-คีย์บอร์ด-Mechanical-ไร้สาย-Keychron-K4-Wireless-Mechanical-Keyboard-Keychron-Optical-i.930202122.20371000329?sp_atk=39e04af9-a4a6-4abc-9ab9-3faf40048bd9&xptdk=39e04af9-a4a6-4abc-9ab9-3faf40048bd9,TRUE,g6iyz7iavb,None,"฿1,539 - ฿1,803",None,0,shopee
Keychron K4 V2 คีย์บอร์ด Mechanical ไร้สาย  Keychron K4 Wireless Mechanical Keyboard Keychron Optical,2702,https://shopee.co.th/Keychron-K4-V2-คีย์บอร์ด-Mechanical-ไร้สาย-Keychron-K4-Wireless-Mechanical-Keyboard-Keychron-Optical-i.89308423.12492084238?sp_atk=eb043cc7-c536-4542-9418-894607383755&xptdk=eb043cc7-c536-4542-9418-894607383755,TRUE,champpam123,Keychron(คีย์ครอน),"฿2,702 - ฿3,164",5,37,shopee
Keychron K4 V2 คีย์บอร์ด Mechanical ไร้สาย  Keychron K4 Wireless Mechanical Keyboard Keychron Optical,1553,https://shopee.co.th/Keychron-K4-V2-คีย์บอร์ด-Mechanical-ไร้สาย-Keychron-K4-Wireless-Mechanical-Keyboard-Keychron-Optical-i.924403977.23414667082?sp_atk=19a2bd42-fee7-40e9-ab89-77658bab6e9d&xptdk=19a2bd42-fee7-40e9-ab89-77658bab6e9d,TRUE,clp0io8euh,None,"฿1,553 - ฿1,819",None,0,shopee
"h0v d - s แผ่นรองข้อมือสําหรับคีย์บอร์ด/Keychron keyboard wooden hand rest, suitable for K2/K6, K4, K8 wrist  mzr",341,https://shopee.co.th/h0v-d-s-แผ่นรองข้อมือสําหรับคีย์บอร์ด-Keychron-keyboard-wooden-hand-rest-suitable-for-K2-K6-K4-K8-wrist-mzr-i.928884316.21070309495?sp_atk=ce1ae7da-dc08-407b-96c1-c158ce323862&xptdk=ce1ae7da-dc08-407b-96c1-c158ce323862,TRUE,mzrxch7h0v,None,฿341 - ฿886,None,0,shopee
Keychron K4 V.2 Wireless Hot swappable mechanical Keyboard คีย์บอร์ดไร้สาย ภาษาไทย,4390,https://shopee.co.th/Keychron-K4-V.2-Wireless-Hot-swappable-mechanical-Keyboard-คีย์บอร์ดไร้สาย-ภาษาไทย-i.472321265.19605030427?sp_atk=326c36f8-a436-4298-bf5e-f016bd7adc24&xptdk=326c36f8-a436-4298-bf5e-f016bd7adc24,TRUE,sillicons,Keychron(คีย์ครอน),"฿4,390",5,189,shopee
【กระเป๋าเก็บคีย์บอร์ด】【Keyboard storage bag】ที่ใช้งานได้ Keychron K1 / K2 K4 K6 K8 แป้นพิมพ์เชิงกลการป้องกันการจัดเก็บกร,816,https://shopee.co.th/【กระเป๋าเก็บคีย์บอร์ด】【Keyboard-storage-bag】ที่ใช้งานได้-Keychron-K1-K2-K4-K6-K8-แป้นพิมพ์เชิงกลการป้องกันการจัดเก็บกร-i.915799640.22611416740?sp_atk=d54ca4a3-5b14-4106-a69e-2f7f141d0da8&xptdk=d54ca4a3-5b14-4106-a69e-2f7f141d0da8,TRUE,l9gb0tjfez,None,฿816 - ฿872,None,0,shopee
เคสคีย์บอร์ด 100 คีย์ สําหรับ Keychron K4 RK Royal KLUDGE RK96 90% RK100,489,https://shopee.co.th/เคสคีย์บอร์ด-100-คีย์-สําหรับ-Keychron-K4-RK-Royal-KLUDGE-RK96-90-RK100-i.284377828.22400259421?sp_atk=58623a03-5185-4700-b416-cddbc8725b0c&xptdk=58623a03-5185-4700-b416-cddbc8725b0c,TRUE,geekria.th,None,฿489,4.5,19,shopee
Keychron K4 V2 คีย์บอร์ด Mechanical ไร้สาย  Keychron K4 Wireless Mechanical Keyboard Keychron Optical,1457,https://shopee.co.th/Keychron-K4-V2-คีย์บอร์ด-Mechanical-ไร้สาย-Keychron-K4-Wireless-Mechanical-Keyboard-Keychron-Optical-i.929327109.23816304133?sp_atk=e0bf8af5-0d09-4982-9af3-066708c8403c&xptdk=e0bf8af5-0d09-4982-9af3-066708c8403c,TRUE,5yjbis_r7x,None,"฿1,457 - ฿1,706",None,0,shopee
Keychron K4 V2 คีย์บอร์ด Mechanical ไร้สาย  Keychron K4 Wireless Mechanical Keyboard Keychron Optical,1222,https://shopee.co.th/Keychron-K4-V2-คีย์บอร์ด-Mechanical-ไร้สาย-Keychron-K4-Wireless-Mechanical-Keyboard-Keychron-Optical-i.915799640.23511437309?sp_atk=acf9e4a1-864b-4bb2-a2ab-bd80bd375dbd&xptdk=acf9e4a1-864b-4bb2-a2ab-bd80bd375dbd,TRUE,l9gb0tjfez,None,"฿1,222 - ฿1,400",None,0,shopee
【พร้อมส่งของ】Keychron K4 V2 Wireless Hot swappable mechanical Keyboard คีย์บอร์ดไร้สาย ภาษาไทย แบบไร้สาย - Mode 5 . 1,1639,https://shopee.co.th/【พร้อมส่งของ】Keychron-K4-V2-Wireless-Hot-swappable-mechanical-Keyboard-คีย์บอร์ดไร้สาย-ภาษาไทย-แบบไร้สาย-Mode-5-.-1-i.926608799.22915824999?sp_atk=cb156d9e-b939-4955-8bcf-4e6b0c49039c&xptdk=cb156d9e-b939-4955-8bcf-4e6b0c49039c,TRUE,8i3b0k1o2q,None,"฿1,639 - ฿1,805",None,0,shopee
Keychron K4V2 คีย์ครอน K4 คีย์บอร์ดไร้สาย Wireless Hot swappable mechanical keyboard,1533,https://shopee.co.th/Keychron-K4V2-คีย์ครอน-K4-คีย์บอร์ดไร้สาย-Wireless-Hot-swappable-mechanical-keyboard-i.915801385.20868757852?sp_atk=9e806066-349b-467e-9ed5-002c7f28a3dd&xptdk=9e806066-349b-467e-9ed5-002c7f28a3dd,TRUE,h2vqf64zi6,None,"฿1,533",None,0,shopee
⊙☑✉Keychron K4V2 คีย์ครอน K4 คีย์บอร์ดไร้สาย Wireless Hot swappable mechanical keyboard,1566,https://shopee.co.th/⊙☑✉Keychron-K4V2-คีย์ครอน-K4-คีย์บอร์ดไร้สาย-Wireless-Hot-swappable-mechanical-keyboard-i.926028192.19669832949?sp_atk=a02fb008-4902-4b7b-9499-db65fb6ca829&xptdk=a02fb008-4902-4b7b-9499-db65fb6ca829,TRUE,s_1wasdwo1,None,"฿1,566 - ฿1,806",None,0,shopee
Keychron K4 V2 คีย์บอร์ด Mechanical ไร้สาย  Keychron K4 Wireless Mechanical Keyboard Keychron Optical,1429,https://shopee.co.th/Keychron-K4-V2-คีย์บอร์ด-Mechanical-ไร้สาย-Keychron-K4-Wireless-Mechanical-Keyboard-Keychron-Optical-i.929359328.23817507315?sp_atk=883bc1aa-863d-4e99-a09c-92eecb4851ad&xptdk=883bc1aa-863d-4e99-a09c-92eecb4851ad,TRUE,ddh4ofgujz,None,"฿1,429 - ฿1,674",None,0,shopee
【กระเป๋าเก็บคีย์บอร์ด】【Keyboard storage bag】ที่ใช้งานได้ Keychron K1 / K2 K4 K6 K8 แป้นพิมพ์เชิงกลการป้องกันการจัดเก็บกร,806,https://shopee.co.th/【กระเป๋าเก็บคีย์บอร์ด】【Keyboard-storage-bag】ที่ใช้งานได้-Keychron-K1-K2-K4-K6-K8-แป้นพิมพ์เชิงกลการป้องกันการจัดเก็บกร-i.913927655.18468640723?sp_atk=36d77c16-3101-4796-a65c-18f6f6cb4248&xptdk=36d77c16-3101-4796-a65c-18f6f6cb4248,TRUE,z_e_y_tamr,None,฿806 - ฿863,None,0,shopee
